Dataset	Celltype	Gene
Brain_PFC_MohammadisDavila2020	Ast	ABLIM1
Brain_PFC_MohammadisDavila2020	Ast	ACACB
Brain_PFC_MohammadisDavila2020	Ast	ACOT11
Brain_PFC_MohammadisDavila2020	Ast	ACSBG1
Brain_PFC_MohammadisDavila2020	Ast	ACSS1
Brain_PFC_MohammadisDavila2020	Ast	ACSS3
Brain_PFC_MohammadisDavila2020	Ast	ADCY2
Brain_PFC_MohammadisDavila2020	Ast	ADD3
Brain_PFC_MohammadisDavila2020	Ast	AGT
Brain_PFC_MohammadisDavila2020	Ast	AHCYL1
Brain_PFC_MohammadisDavila2020	Ast	AHCYL2
Brain_PFC_MohammadisDavila2020	Ast	ALDH1A1
Brain_PFC_MohammadisDavila2020	Ast	ALDH1L1
Brain_PFC_MohammadisDavila2020	Ast	ANGPTL4
Brain_PFC_MohammadisDavila2020	Ast	ANKDD1A
Brain_PFC_MohammadisDavila2020	Ast	APC
Brain_PFC_MohammadisDavila2020	Ast	APOE
Brain_PFC_MohammadisDavila2020	Ast	AQP4
Brain_PFC_MohammadisDavila2020	Ast	ARHGAP24
Brain_PFC_MohammadisDavila2020	Ast	ARHGAP31
Brain_PFC_MohammadisDavila2020	Ast	ARHGAP5
Brain_PFC_MohammadisDavila2020	Ast	ARHGEF26
Brain_PFC_MohammadisDavila2020	Ast	ARHGEF4
Brain_PFC_MohammadisDavila2020	Ast	ASPH
Brain_PFC_MohammadisDavila2020	Ast	ATP13A4
Brain_PFC_MohammadisDavila2020	Ast	ATP1A2
Brain_PFC_MohammadisDavila2020	Ast	ATP1B2
Brain_PFC_MohammadisDavila2020	Ast	BAZ2B
Brain_PFC_MohammadisDavila2020	Ast	BCKDHB
Brain_PFC_MohammadisDavila2020	Ast	BCL2
Brain_PFC_MohammadisDavila2020	Ast	BCL6
Brain_PFC_MohammadisDavila2020	Ast	BMP2K
Brain_PFC_MohammadisDavila2020	Ast	BMPR1B
Brain_PFC_MohammadisDavila2020	Ast	C1orf61
Brain_PFC_MohammadisDavila2020	Ast	CABLES1
Brain_PFC_MohammadisDavila2020	Ast	CACHD1
Brain_PFC_MohammadisDavila2020	Ast	CACNB2
Brain_PFC_MohammadisDavila2020	Ast	CADM1
Brain_PFC_MohammadisDavila2020	Ast	CAMK2G
Brain_PFC_MohammadisDavila2020	Ast	CDC14A
Brain_PFC_MohammadisDavila2020	Ast	CDH20
Brain_PFC_MohammadisDavila2020	Ast	CDHR3
Brain_PFC_MohammadisDavila2020	Ast	CEP85L
Brain_PFC_MohammadisDavila2020	Ast	CHPT1
Brain_PFC_MohammadisDavila2020	Ast	CKB
Brain_PFC_MohammadisDavila2020	Ast	CLDN10
Brain_PFC_MohammadisDavila2020	Ast	CLU
Brain_PFC_MohammadisDavila2020	Ast	COL5A3
Brain_PFC_MohammadisDavila2020	Ast	CPE
Brain_PFC_MohammadisDavila2020	Ast	CRB1
Brain_PFC_MohammadisDavila2020	Ast	CSGALNACT1
Brain_PFC_MohammadisDavila2020	Ast	CST3
Brain_PFC_MohammadisDavila2020	Ast	CTNNA2
Brain_PFC_MohammadisDavila2020	Ast	CTNND2
Brain_PFC_MohammadisDavila2020	Ast	DCLK2
Brain_PFC_MohammadisDavila2020	Ast	DDAH1
Brain_PFC_MohammadisDavila2020	Ast	DGKG
Brain_PFC_MohammadisDavila2020	Ast	DLC1
Brain_PFC_MohammadisDavila2020	Ast	DNAH7
Brain_PFC_MohammadisDavila2020	Ast	DOCK1
Brain_PFC_MohammadisDavila2020	Ast	DOCK4
Brain_PFC_MohammadisDavila2020	Ast	DOCK7
Brain_PFC_MohammadisDavila2020	Ast	DST
Brain_PFC_MohammadisDavila2020	Ast	DTNA
Brain_PFC_MohammadisDavila2020	Ast	ECHDC2
Brain_PFC_MohammadisDavila2020	Ast	EDNRB
Brain_PFC_MohammadisDavila2020	Ast	EFEMP1
Brain_PFC_MohammadisDavila2020	Ast	EGFR
Brain_PFC_MohammadisDavila2020	Ast	EMX2
Brain_PFC_MohammadisDavila2020	Ast	EPHB1
Brain_PFC_MohammadisDavila2020	Ast	ERBB4
Brain_PFC_MohammadisDavila2020	Ast	ETNPPL
Brain_PFC_MohammadisDavila2020	Ast	EYA1
Brain_PFC_MohammadisDavila2020	Ast	EYA2
Brain_PFC_MohammadisDavila2020	Ast	EZR
Brain_PFC_MohammadisDavila2020	Ast	F3
Brain_PFC_MohammadisDavila2020	Ast	FAM107A
